Strain,Media,Abs590,Abs600,Ex485Em535,Ex550Em630,RelGFP,RelRFP,Rel_neg RFP
neg,LB,0.463,0.361,5998835,29580,16633154,82017,1
p125,LB,0.916,0.846,733332,46049,866896,54436,0.7
p250,LB,1.049,0.952,-128007,48938,-134444,51399,0.6
p375,LB,0.98,0.874,-16489,52093,-18876,59633,0.7
p500,LB,0.891,0.823,1317230,38635,1600143,46933,0.6
p625,LB,1.165,1.046,-60316,504570,-57671,482443,5.9
p750,LB,0.502,0.448,-113142,644784,-252621,1439660,17.6
p875,LB,0.112,0.095,-563,190367,-5938,2007812,24.5
neg,M9,0.103,0.097,4878339,41357,50149580,425152,1
p125,M9,0.11,0.105,796629,47568,7561883,451532,1.1
p250,M9,0.123,0.116,252044,69406,2172328,598200,1.4
p375,M9,0.119,0.113,324217,48868,2877541,433721,1
p500,M9,0.097,0.092,1145387,60435,12505697,659848,1.6
p625,M9,0.145,0.136,351003,443254,2575313,3252159,7.6
p750,M9,0.065,0.059,183993,455016,3136953,7757708,18.2
p875,M9,0.019,0.018,134001,189307,7613083,10755218,25.3
neg,PBS,0.489,0.423,5246746,30851,12400908,72918,1
p125,PBS,1.104,1.041,1066849,38373,1024856,36863,0.5
p250,PBS,1.171,1.038,215237,50810,207331,48944,0.7
p375,PBS,1.004,0.853,312798,39508,366707,46317,0.6
p500,PBS,0.891,0.81,1390081,39660,1716189,48964,0.7
p625,PBS,1.31,1.135,317994,411146,280187,362264,5
p750,PBS,0.43,0.4,123575,388646,309298,972749,13.3
p875,PBS,0.1,0.091,63320,60175,699620,664871,9.1
