Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[genomic measurement]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genomic measurement]
Sample 1	ERS4268082	SAMEA6503635	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 1	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 1	sequencing assay	ERX3854218	MSQ-01_S1_L001_R1_001.fastq.gz	MSQ-01_S1_L001_R1_001.fastq.gz	ERR3841656	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841656/ERR3841656.fastq.gz	    
Sample 10	ERS4268083	SAMEA6503636	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 10	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 10	sequencing assay	ERX3854219	MSQ-10_S10_L001_R1_001.fastq.gz	MSQ-10_S10_L001_R1_001.fastq.gz	ERR3841657	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841657/ERR3841657.fastq.gz	    
Sample 11	ERS4268084	SAMEA6503637	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 11	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 11	sequencing assay	ERX3854220	MSQ-11_S11_L001_R1_001.fastq.gz	MSQ-11_S11_L001_R1_001.fastq.gz	ERR3841658	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841658/ERR3841658.fastq.gz	    
Sample 12	ERS4268085	SAMEA6503638	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 12	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 12	sequencing assay	ERX3854221	MSQ-12_S12_L001_R1_001.fastq.gz	MSQ-12_S12_L001_R1_001.fastq.gz	ERR3841659	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841659/ERR3841659.fastq.gz	    
Sample 13	ERS4268086	SAMEA6503639	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 13	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 13	sequencing assay	ERX3854222	MSQ-13_S13_L001_R1_001.fastq.gz	MSQ-13_S13_L001_R1_001.fastq.gz	ERR3841660	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841660/ERR3841660.fastq.gz	    
Sample 14	ERS4268087	SAMEA6503640	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 14	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 14	sequencing assay	ERX3854223	MSQ-14_S14_L001_R1_001.fastq.gz	MSQ-14_S14_L001_R1_001.fastq.gz	ERR3841661	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841661/ERR3841661.fastq.gz	    
Sample 15	ERS4268088	SAMEA6503641	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 15	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 15	sequencing assay	ERX3854224	MSQ-15_S15_L001_R1_001.fastq.gz	MSQ-15_S15_L001_R1_001.fastq.gz	ERR3841662	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/002/ERR3841662/ERR3841662.fastq.gz	    
Sample 16	ERS4268089	SAMEA6503642	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 16	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 16	sequencing assay	ERX3854225	MSQ-16_S16_L001_R1_001.fastq.gz	MSQ-16_S16_L001_R1_001.fastq.gz	ERR3841663	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/003/ERR3841663/ERR3841663.fastq.gz	    
Sample 17	ERS4268090	SAMEA6503643	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 17	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 17	sequencing assay	ERX3854226	MSQ-17_S17_L001_R1_001.fastq.gz	MSQ-17_S17_L001_R1_001.fastq.gz	ERR3841664	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/004/ERR3841664/ERR3841664.fastq.gz	    
Sample 18	ERS4268091	SAMEA6503644	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 18	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 18	sequencing assay	ERX3854227	MSQ-18_S18_L001_R1_001.fastq.gz	MSQ-18_S18_L001_R1_001.fastq.gz	ERR3841665	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/005/ERR3841665/ERR3841665.fastq.gz	    
Sample 19	ERS4268092	SAMEA6503645	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 19	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 19	sequencing assay	ERX3854228	MSQ-19_S19_L001_R1_001.fastq.gz	MSQ-19_S19_L001_R1_001.fastq.gz	ERR3841666	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841666/ERR3841666.fastq.gz	    
Sample 2	ERS4268093	SAMEA6503646	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 2	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 2	sequencing assay	ERX3854229	MSQ-02_S2_L001_R1_001.fastq.gz	MSQ-02_S2_L001_R1_001.fastq.gz	ERR3841667	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841667/ERR3841667.fastq.gz	    
Sample 20	ERS4268094	SAMEA6503647	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 20	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 20	sequencing assay	ERX3854230	MSQ-20_S20_L001_R1_001.fastq.gz	MSQ-20_S20_L001_R1_001.fastq.gz	ERR3841668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841668/ERR3841668.fastq.gz	    
Sample 21	ERS4268095	SAMEA6503648	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 21	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 21	sequencing assay	ERX3854231	MSQ-21_S21_L001_R1_001.fastq.gz	MSQ-21_S21_L001_R1_001.fastq.gz	ERR3841669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841669/ERR3841669.fastq.gz	    
Sample 22	ERS4268096	SAMEA6503649	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 22	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 22	sequencing assay	ERX3854232	MSQ-22_S22_L001_R1_001.fastq.gz	MSQ-22_S22_L001_R1_001.fastq.gz	ERR3841670	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841670/ERR3841670.fastq.gz	    
Sample 23	ERS4268097	SAMEA6503650	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 23	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 23	sequencing assay	ERX3854233	MSQ-23_S23_L001_R1_001.fastq.gz	MSQ-23_S23_L001_R1_001.fastq.gz	ERR3841671	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841671/ERR3841671.fastq.gz	    
Sample 24	ERS4268098	SAMEA6503651	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 24	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 24	sequencing assay	ERX3854234	MSQ-24_S24_L001_R1_001.fastq.gz	MSQ-24_S24_L001_R1_001.fastq.gz	ERR3841672	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/002/ERR3841672/ERR3841672.fastq.gz	    
Sample 25	ERS4268099	SAMEA6503652	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 25	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 25	sequencing assay	ERX3854235	MSQ-25_S25_L001_R1_001.fastq.gz	MSQ-25_S25_L001_R1_001.fastq.gz	ERR3841673	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/003/ERR3841673/ERR3841673.fastq.gz	    
Sample 26	ERS4268100	SAMEA6503653	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 26	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 26	sequencing assay	ERX3854236	MSQ-26_S26_L001_R1_001.fastq.gz	MSQ-26_S26_L001_R1_001.fastq.gz	ERR3841674	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/004/ERR3841674/ERR3841674.fastq.gz	    
Sample 27	ERS4268101	SAMEA6503654	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 27	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 27	sequencing assay	ERX3854237	MSQ-27_S27_L001_R1_001.fastq.gz	MSQ-27_S27_L001_R1_001.fastq.gz	ERR3841675	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/005/ERR3841675/ERR3841675.fastq.gz	    
Sample 28	ERS4268102	SAMEA6503655	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 28	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 28	sequencing assay	ERX3854238	MSQ-28_S28_L001_R1_001.fastq.gz	MSQ-28_S28_L001_R1_001.fastq.gz	ERR3841676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841676/ERR3841676.fastq.gz	    
Sample 29	ERS4268103	SAMEA6503656	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 29	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 29	sequencing assay	ERX3854239	MSQ-29_S29_L001_R1_001.fastq.gz	MSQ-29_S29_L001_R1_001.fastq.gz	ERR3841677	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841677/ERR3841677.fastq.gz	    
Sample 3	ERS4268104	SAMEA6503657	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 3	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 3	sequencing assay	ERX3854240	MSQ-03_S3_L001_R1_001.fastq.gz	MSQ-03_S3_L001_R1_001.fastq.gz	ERR3841678	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841678/ERR3841678.fastq.gz	    
Sample 30	ERS4268105	SAMEA6503658	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 30	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 30	sequencing assay	ERX3854241	MSQ-30_S30_L001_R1_001.fastq.gz	MSQ-30_S30_L001_R1_001.fastq.gz	ERR3841679	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841679/ERR3841679.fastq.gz	    
Sample 31	ERS4268106	SAMEA6503659	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 31	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 31	sequencing assay	ERX3854242	MSQ-31_S31_L001_R1_001.fastq.gz	MSQ-31_S31_L001_R1_001.fastq.gz	ERR3841680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841680/ERR3841680.fastq.gz	    
Sample 32	ERS4268107	SAMEA6503660	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 32	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 32	sequencing assay	ERX3854243	MSQ-32_S32_L001_R1_001.fastq.gz	MSQ-32_S32_L001_R1_001.fastq.gz	ERR3841681	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841681/ERR3841681.fastq.gz	    
Sample 33	ERS4268108	SAMEA6503661	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 33	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 33	sequencing assay	ERX3854244	MSQ-33_S33_L001_R1_001.fastq.gz	MSQ-33_S33_L001_R1_001.fastq.gz	ERR3841682	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/002/ERR3841682/ERR3841682.fastq.gz	    
