Position,Observed RNAP Flux at position,Predicted log(TX/Txref) at position,Predicted TX at position [au]
59,1.6014454830000002,-1.3795769141654612,542.314100605361
60,3.1099660239999998,-1.3249126087219694,493.479065733374
61,1.6014454830000002,-1.4021966267627681,543.989081461395
62,1.0,-1.232379402990878,492.566829336186
63,1.941975129,-1.2919446461637862,979.825242439224
64,1.287019666,-0.9511654830680619,911.610508276078
65,1.3477575019999999,-1.9252473187273962,940.160901822899
66,1.0,-1.881138879162648,1032.56284067023
67,1.0,-1.8999886396604038,910.486704155558
68,1.0,-1.9572919115735812,365.635721003568
69,1.941975129,-1.8803848887427375,188.561632744976
70,1.0,-1.0987039401303282,203.548371389654
71,3.1099660239999998,-0.9179433369974899,164.59009870662
72,1.0,-0.9646907430319244,178.000646361652
73,6.039476669,-0.8348340553084148,267.312303670813
74,1.0,-0.8827124469727147,298.514478783975
75,1.0,-1.1312640790023236,250.549727642112
76,1.0,-1.1987462215842892,308.053481499887
77,2.307512825,-1.0916795819570364,261.603737303442
78,1.0,-1.217972977292,594.893352394113
79,1.0,-1.1180692466538944,537.995174697716
80,1.0,-1.6202399336938587,838.694897396762
81,1.941975129,-1.5587897144711746,846.490054451774
82,1.0,-1.5991282019363722,4842.77834198586
83,1.0,-1.6047831300856987,4878.75353261399
84,1.0,-2.4056461797641546,4572.81745749621
85,1.941975129,-2.89180654208921,4638.14778459479
86,1.0,-2.8522220450439226,4431.21828473555
87,1.0,-2.860892934872891,4786.71300428991
88,1.0,-2.8329952893362123,1435.24341066141
89,1.941975129,-2.894822503768851,1758.12846088376
90,1.0,-1.9005616593673926,923.790734431609
91,1.0,-2.024593083442626,514.478107071441
92,1.0,-1.8892518030687393,281.426228411772
93,1.0,-1.3244453270501417,370.306262579005
94,1.0,-1.162714381979397,115.628244412913
95,1.0,-1.3304772504094236,152.521773763371
96,1.941975129,-0.6190162817499464,114.917285561937
97,1.0,-0.7882871310197934,151.397101272867
98,1.0,-0.6152463296503952,146.158592047787
99,1.440893774,-0.783763188500332,195.306757111712
100,1.0,-0.6443466447317653,141.807546933356
101,3.1099660239999998,-0.8215343934106698,193.866594625314
102,1.941975129,-0.6258738794439647,327.061403122563
103,1.0,-0.8170104508912084,458.297221021421
104,3.1099660239999998,-1.2545710954273765,320.471937173946
105,1.0,-1.460787475272825,466.855997102289
106,1.440893774,-1.2421302534988579,358.76319788456
107,1.6014454830000002,-1.4720973315714785,452.268002086361
108,3.1099660239999998,-1.3111203769206439,334.926391720257
109,1.0,-1.0809789976271298,299.622250473216
110,1.0,-0.8973823303789883,223.947092774656
111,1.0,-1.2010103287708425,841.555623527239
112,1.0,-1.0230685896720277,692.532131479086
113,1.6014454830000002,-1.3893302518916533,855.159481955396
114,1.440893774,-1.5702352927548657,736.589723448755
115,1.6014454830000002,-1.6991676545595156,832.264548270553
116,1.941975129,-1.6079348137503775,760.117210975463
117,1.0,-1.6825798653214905,814.480293105504
118,1.0,-1.6501582772653505,277.047220887446
119,1.0,-0.8267871530998108,642.563370485106
120,1.0,-0.8222632105803492,628.841160189192
121,1.0,-1.6673568610803804,621.515082267584
122,1.440893774,-1.6541620287319514,637.431938939705
123,1.6014454830000002,-1.6469991197428042,611.628033864869
124,3.1099660239999998,-1.662455923350964,323.423387309432
125,1.0,-1.637197244283971,298.800054451018
126,3.1099660239999998,-0.9148820203658418,285.645305776726
127,1.6014454830000002,-1.0860473810710265,275.267954081795
128,1.3477575019999999,-1.058526730744303,357.202376208358
129,1.0,-1.0359070181469963,1215.78273212148
130,1.0,-1.3084553074669196,1134.63442555338
131,1.6014454830000002,-2.057135546477019,1056.2932695057
132,1.0,-2.014912082962046,1099.50000404247
133,1.941975129,-1.9711806386072528,1090.04702378811
134,1.0,-1.9956853272543353,544.84633667561
135,3.1099660239999998,-1.9904073943149636,545.518834753189
136,1.0,-0.9203688552354629,389.917568627619
137,1.6014454830000002,-1.3816243719487418,388.956805511261
138,1.0,-1.362020621031076,370.459426538086
139,1.3477575019999999,-1.3605126401912553,355.462845267986
140,1.0,-1.3307300186048012,549.692426114246
141,1.6014454830000002,-1.3054713395378084,591.189771271632
142,1.6014454830000002,-1.5719372116574357,558.5782771915
143,1.941975129,-1.6164226464321394,626.091254883688
144,1.941975129,-1.5817390871162689,592.284657883721
145,1.0,-1.6514832009579654,482.983271396047
146,1.0,-1.6175536320620048,446.87089780214
147,1.0,-1.4928559902069773,606.720934136794
148,1.941975129,-1.4453545937526326,623.795959323123
149,1.3477575019999999,-1.4675973111399843,582.519408667642
150,1.0,-1.4845620955879646,618.051547504422
151,1.188229768,-1.277896255399159,583.238406220001
152,1.6014454830000002,-1.3140877955548502,320.854142470442
153,1.0,-1.0063879315972708,312.649432903101
154,1.941975129,-0.6247237612136831,338.12362699019
155,1.3477575019999999,-0.6088899623955683,297.964673870649
156,1.6014454830000002,-0.656768354059868,267.632445503718
157,1.0,-0.5794843360190693,224.629762021274
158,3.1099660239999998,-1.1319956900354176,276.525507439818
159,1.0,-1.0249290504081645,274.089086139729
160,1.0,-1.1519764361630387,2561.35157634424
161,1.0,-1.0415168396461898,2228.09370199497
162,1.0,-2.5126043639230597,2919.38978067316
163,1.244305456,-2.4274034464732033,2872.94819157673
164,1.0,-2.4733968620877276,3192.50354367845
165,1.0,-2.4635949866288946,2935.64001544242
166,1.0,-2.5280611675312192,2864.1021809025
167,1.287019666,-2.414491779531131,2013.43767921624
168,1.440893774,-2.3994119711329267,2153.44921604881
169,1.6014454830000002,-2.365482402236966,2009.71567505843
170,1.440893774,-2.406574880122074,756.437167022855
171,1.0,-2.364351416607101,806.050327114998
172,1.0,-1.7245858592102068,775.331003023245
173,1.941975129,-1.7634163658355837,209.954746223493
174,1.0,-1.7396656676084115,203.578932657878
175,1.098079343,-0.9836322708056573,207.543693656918
176,1.0,-0.9647825103079015,193.549226192628
177,1.0,-0.8712404673629732,93.0847023802544
178,1.0,-0.8618155871140953,85.5424861477859
179,1.0,-0.3556895154427422,228.933731852868
180,1.0,-0.30404117167889133,307.427063175856
181,1.015787561,-1.036529928384524,309.519864304583
182,1.287019699,-1.0899583718947157,307.427063175856
183,1.0,-1.094105319204222,315.494724591638
184,1.104327373,-1.089958371894716,304.408223046194
185,1.146240378,-1.1057921707128306,141.246007958816
186,1.119558514,-1.0839264485354339,179.470832597782
187,1.0,-0.5521684821409736,195.272332015106
188,1.0,-0.8877402713631832,229.383517675621
189,1.440893774,-0.939318789983964,227.692078311003
190,1.0875875529999999,-0.9464816989731112,226.851041549521
191,1.037758885,-0.9419577564536499,223.793731445925
192,1.031070056,-0.939695785193919,432.632452229844
193,1.188229779,-0.9314018905749065,525.166575684096
194,1.3477575019999999,-0.9764979926362194,498.959072682113
195,1.098079343,-1.5440378245725557,469.114866967611
196,1.19969245,-1.512747222146281,477.875664368114
197,1.054679798,-1.4750477011507694,487.400923288098
198,1.212639077,-1.486357557449423,452.189429191265
199,1.163236124,-1.4984214041679866,471.266797233021
200,1.304770576,-1.4525865311038033,452.189429191265
201,1.104327373,-1.4778452101707957,475.646934408824
202,1.01563675,-1.4525865311038029,473.890015326301
203,1.404785824,-1.4835001383201227,314.209821654163
204,1.111425136,-1.481238167060392,349.374502765077
205,1.119558514,-1.2300680723060116,321.066327752591
206,1.033280912,-1.2949112484182912,346.370746272242
